web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1662874947-1604","https://www.zillow.com/rodanthe-nc/sold/","23038 G A Kohler Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23038-G-A-Kohler-Ct-Rodanthe-NC-27968/86650946_zpid/","1985","0.31 Acres","Property detailsParkingParking features: Off StreetPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Screened Porch, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.31 AcresLot features: Cul-De-Sac, LevelOther property informationParcel number: 012512000Zoning description: Res","4","3","1,525","03/26/2021","23038 G A Kohler Ct, Rodanthe, NC 27968","$369,000","$369,000"
"1662874956-1605","https://www.zillow.com/rodanthe-nc/sold/","24252 Resort Rodanthe Dr #1-B, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24252-Resort-Rodanthe-Dr-1-B-Rodanthe-NC-27968/2083817501_zpid/","2008","","Property detailsPropertyPrivate pool: Yes","2","2","1,064","08/14/2020","24252 Resort Rodanthe Dr #1-B, Rodanthe, NC 27968","$333,555","$333,555"
"1662874964-1606","https://www.zillow.com/rodanthe-nc/sold/","24215 S Holiday Blvd, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24215-S-Holiday-Blvd-Rodanthe-NC-27968/2132772934_zpid/","Built in 2001","10,000 sqft","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 10,000 sqftLot features: LevelOther property informationZoning description: S1","5","4","2,207","02/16/2021","24215 S Holiday Blvd, Rodanthe, NC 27968","$485,000",""
"1662874974-1607","https://www.zillow.com/rodanthe-nc/sold/","23180 W Corbina Dr LOT 46, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23180-W-Corbina-Dr-LOT-46-Rodanthe-NC-27968/2076053190_zpid/","1986","10,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Sun Deck, Roof Top DeckView description: SoundWaterfront features: None, Beach AccessHas waterview: YesWaterview: SoundLotLot size: 10,000 sqftLot features: LevelOther property informationZoning description: Res","3","2","1,008","12/08/2020","23180 W Corbina Dr LOT 46, Rodanthe, NC 27968","$350,000","$350,000"
"1662875303-1608","https://www.zillow.com/rodanthe-nc/sold/","23208 Southgate Dr, Rodanthe, NC 27982","https://www.zillow.com/homedetails/23208-Southgate-Dr-Rodanthe-NC-27982/228616883_zpid/","1987","10,001 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 10,001 sqftOther property informationParcel number: 011542000","4","3","1,568","08/06/2020","23208 Southgate Dr, Rodanthe, NC 27982","$399,000","$399,000"
"1662875316-1609","https://www.zillow.com/rodanthe-nc/sold/","23279 E Beacon Dr LOT 1, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23279-E-Beacon-Dr-LOT-1-Rodanthe-NC-27968/2076059385_zpid/","2002","0.49 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: 3 - lots from oceanfront (4th ro, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.49 AcresLot features: Corner Lot, LevelOther property informationZoning description: Res","6","6","3,012","11/24/2020","23279 E Beacon Dr LOT 1, Rodanthe, NC 27968","$640,000","$640,000"
"1662875328-1610","https://www.zillow.com/rodanthe-nc/sold/","23224 Sea Oats Drive, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23224-Sea-Oats-Drive-Rodanthe-NC-27968/2095342988_zpid/","2003","10,001 sqft","Property detailsPropertySpa included: YesLotLot size: 10,001 sqft","5","4","2,135","03/15/2021","23224 Sea Oats Drive, Rodanthe, NC 27968","$435,500","$435,500"
"1662875343-1611","https://www.zillow.com/rodanthe-nc/sold/","24143 Ocean Dr S, Waves, NC 27982","https://www.zillow.com/homedetails/24143-Ocean-Dr-S-Waves-NC-27982/228617425_zpid/","1989","5,000 sqft","Property detailsPropertyExterior features: OtherLotLot size: 5,000 sqftOther property informationParcel number: 012745000","4","3","2,424","11/18/2021","24143 Ocean Dr S, Waves, NC 27982","$675,000","$675,000"
"1662875355-1612","https://www.zillow.com/rodanthe-nc/sold/","23012 Cross Of Honor Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23012-Cross-Of-Honor-Way-Rodanthe-NC-27968/2075388291_zpid/","2000","0.84 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: Private, Jet Tub, BathExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, Park Serv/Preserve, Salt Marsh, SoundWaterfront features: Soundfront, Waterfront, Beach Access, Boardwalk to BeachFrontage length: Waterfront: 75,Roadfront: 109Has waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.84 AcresLot features: Cul-De-Sac, Lawn SprinklersOther property informationZoning description: S1","5","5","2,749","03/22/2021","23012 Cross Of Honor Way, Rodanthe, NC 27968","$625,000","$625,000"
"1662875366-1613","https://www.zillow.com/rodanthe-nc/sold/","23004 Chicamacomico Ct LOT 24, Rodanthe, NC 27982","https://www.zillow.com/homedetails/23004-Chicamacomico-Ct-LOT-24-Rodanthe-NC-27982/2070513365_zpid/","","","","","","","12/16/2021","23004 Chicamacomico Ct LOT 24, Rodanthe, NC 27982","$225,000","$225,000"
