web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659564738-2195","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659560398-1823","https://www.zillow.com/avon-nc/sold/","41661 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41661-Ocean-View-Dr-Avon-NC-27915/86668896_zpid/","1994","0.31 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.31 AcresOther property informationParcel number: 029593029","5","4","3,469","09/18/2020","41661 Ocean View Dr, Avon, NC 27915","$670,000","$670,000","Chevron Right","https://www.zillow.com/avon-nc/sold/13_p/"
"1659565722-2322","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659554417-1329","https://www.zillow.com/frisco-nc/sold/","50178 Paradise Dr, Buxton, NC 27936","https://www.zillow.com/homedetails/50178-Paradise-Dr-Buxton-NC-27936/228617126_zpid/","1990","10,000 sqft","Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Salt Marsh, SoundWaterfront features: NoneHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 10,000 sqftLot features: LevelOther property informationParcel number: 012126000Zoning description: S1","3","2","2,160","07/12/2021","50178 Paradise Dr, Buxton, NC 27936","$420,000","$420,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/4_p/"
"1659560089-1699","https://www.zillow.com/avon-nc/sold/","42153 Pheasant Cir, Avon, NC 27915","https://www.zillow.com/homedetails/42153-Pheasant-Cir-Avon-NC-27915/86666782_zpid/","Built in 1992","0.32 Acres","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, Optional with Additional FeeSpa included: YesSpa features: Private, Jet TubExterior features: Outdoor Shower, Dry EntryPatio and porch details: Screened Porch, Roof Top DeckView description: Ocean, SoundWaterfront features: Boardwalk to BeachHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.32 AcresLot features: Adj. To Common Area, Cul-De-Sac, Level, LandscapedOther property informationParcel number: 027817011Zoning description: R-1","4","3","2,296","03/24/2020","42153 Pheasant Cir, Avon, NC 27915","$312,000","null","Chevron Right","https://www.zillow.com/avon-nc/sold/17_p/"
"1659561369-2186","https://www.zillow.com/avon-nc/sold/","41933 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41933-Ocean-View-Dr-Avon-NC-27915/86668881_zpid/","1985","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerView description: Park Serv/Preserve, PondWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachFrontage length: Waterfront: 75,Roadfront: 71Has waterview: YesWaterview: PondLotLot size: 0.34 AcresLot size dimensions: 71 x 200 x 75 x 200Lot features: Adj to Park Serv./PreservOther property informationParcel number: 029593013Zoning description: R1","6","4","3,008","07/15/2022","41933 Ocean View Dr, Avon, NC 27915","$950,000","$950,000","",""
"1659560549-1881","https://www.zillow.com/avon-nc/sold/","42013 Ocean View Dr LOT 7, Avon, NC 27915","https://www.zillow.com/homedetails/42013-Ocean-View-Dr-LOT-7-Avon-NC-27915/2076056542_zpid/","1986","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: Cul-De-SacOther property informationZoning description: Res","4","3","2,062","10/30/2020","42013 Ocean View Dr LOT 7, Avon, NC 27915","$606,000","$606,000","Chevron Right","https://www.zillow.com/avon-nc/sold/12_p/"
"1659560136-1718","https://www.zillow.com/avon-nc/sold/","39310 Wahoo Cir LOT 19, Avon, NC 27915","https://www.zillow.com/homedetails/39310-Wahoo-Cir-LOT-19-Avon-NC-27915/2076061687_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Avon","null","null","null","04/28/2020","39310 Wahoo Cir LOT 19, Avon, NC 27915","$575,000","$575,000","Chevron Right","https://www.zillow.com/avon-nc/sold/16_p/"
"1659567128-2701","https://www.zillow.com/hatteras-nc/sold/","0 Cedar Ave LOT 5, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Cedar-Ave-LOT-5-Hatteras-NC-27943/2078352752_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Estate","0","null","null","06/17/2022","0 Cedar Ave LOT 5, Hatteras, NC 27943","$78,000","null","",""
"1659555878-1446","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659554247-1265","https://www.zillow.com/frisco-nc/sold/","50118 Buccaneer Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/50118-Buccaneer-Dr-Frisco-NC-27936/228616944_zpid/","1993","8,000 sqft","Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Storage, DockPatio and porch details: Covered Decks, Sun Deck, Roof Top DeckView description: Canal, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot size: 8,000 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 011710000Zoning description: Res","3","3","1,611","02/02/2021","50118 Buccaneer Dr, Frisco, NC 27936","$445,000","$445,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/6_p/"
"1659553952-1150","https://www.zillow.com/frisco-nc/sold/","52081 Piney Ridge Rd LOT PT 6, Frisco, NC 27936","https://www.zillow.com/homedetails/52081-Piney-Ridge-Rd-LOT-PT-6-Frisco-NC-27936/2076063479_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Frisco","null","null","null","07/15/2020","52081 Piney Ridge Rd LOT PT 6, Frisco, NC 27936","$250,000","$250,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/8_p/"
"1659561278-2152","https://www.zillow.com/avon-nc/sold/","39253 Sandfiddler Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39253-Sandfiddler-Ln-Avon-NC-27915/308901995_zpid/","1968","6,000 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 6,000 sqftOther property informationParcel number: 013585000","3","1.5","1,323","03/04/2022","39253 Sandfiddler Ln, Avon, NC 27915","$380,000","$380,000","Chevron Right","https://www.zillow.com/avon-nc/sold/3_p/"
"1659569593-2769","https://www.zillow.com/waves-nc/sold/","0 Otter Way LOT 16, Salvo, NC 27972","https://www.zillow.com/homedetails/0-Otter-Way-LOT-16-Salvo-NC-27972/2076052872_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Salvo","null","null","null","11/13/2019","0 Otter Way LOT 16, Salvo, NC 27972","$130,000","$130,000","Chevron Right","https://www.zillow.com/waves-nc/sold/3_p/"
"1659560386-1818","https://www.zillow.com/avon-nc/sold/","0 Pony Pasture Dr LOT 18, Avon, NC 27915","https://www.zillow.com/homedetails/0-Pony-Pasture-Dr-LOT-18-Avon-NC-27915/2078373113_zpid/","null","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Common Area, Ocean Access, Outdoor-Comm. Pool, Outdoor-Comm. TennisOther financial informationAnnual tax amount: $385","null","null","null","09/16/2020","0 Pony Pasture Dr LOT 18, Avon, NC 27915","$54,000","$54,000","Chevron Right","https://www.zillow.com/avon-nc/sold/14_p/"
