StreetAddress,ListingLink-href,YearBuilt,LotSize,Bedrooms,Bathrooms,Size,DateSold,Price,City,Zip,PropertyDetails,PrivatePool,OceanFront,SoundFront,CanalFront,BeachAccess,WaterView,LotsFromOceanFront,MonthsSold
57192 Peerless Ln,https://www.zillow.com/homedetails/57192-Peerless-Ln-Hatteras-NC-27943/2069529370_zpid/,1979,0.1721763085399449,3.0,2.0,960.0,2021-10-13,316000.0,Hatteras,27943,"Property detailsParkingParking features: No GaragePropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Screened Porch, Sun DeckWaterfront features: NoneLotLot size: 7,500 sqftLot features: LevelOther property informationZoning description: RES",0,0,0,0,0,0,0,11.001813508591324
57199 Stowe Lndg,https://www.zillow.com/homedetails/57199-Stowe-Lndg-Hatteras-NC-27943/86654120_zpid/,1987,0.28,2.0,1.0,768.0,2022-03-10,200000.0,Hatteras,27943,Property detailsPropertyExterior features: OtherLotLot size: 0.28 AcresOther property informationParcel number: 015517000,0,0,0,0,0,0,0,6.139290664179734
57200 Summerplace Dr,https://www.zillow.com/homedetails/57200-Summerplace-Dr-Hatteras-NC-27943/86655334_zpid/,2001,0.35,5.0,5.0,2792.0,2020-11-19,483000.0,Hatteras,27943,"Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: Vinyl, Cement / ConcreteView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.35 AcresOther property informationParcel number: 016071012",1,0,0,0,0,1,0,21.77821548809809
57200 Summerplace Dr #12,https://www.zillow.com/homedetails/57200-Summerplace-Dr-12-Hatteras-NC-27943/2076058090_zpid/,2001,0.35,5.0,5.0,2792.0,2020-11-19,483000.0,Hatteras,27943,"Property detailsParkingParking features: No Garage, PavedPropertyPrivate pool: YesPool features: Fiberglass, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Canal, Creek/Stream, Ocean, Salt Marsh, SoundWaterfront features: 3 - lots from oceanfront (4th roHas waterview: YesWaterview: Canal,Creek/Stream,Ocean,Salt Marsh,SoundLotLot size: 0.35 AcresLot features: LandscapedOther property informationZoning description: Res",1,0,0,0,0,1,1,21.77821548809809
57203 Waltham Ln,https://www.zillow.com/homedetails/57203-Waltham-Ln-Hatteras-NC-27943/228620130_zpid/,1974,0.19513314967860423,3.0,3.0,1996.0,2021-04-16,360000.0,Hatteras,27943,"Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NonePatio and porch details: Covered DecksView description: HarborWaterfront features: NoneHas waterview: YesWaterview: HarborLotLot size: 8,500 sqftLot features: Corner Lot, LevelOther property informationParcel number: 015651000Zoning description: Res",0,0,0,0,0,1,0,16.9156926436865
57206 Slash Creek Rd,https://www.zillow.com/homedetails/57206-Slash-Creek-Rd-Hatteras-NC-27943/86655362_zpid/,2001,0.34,5.0,6.0,2800.0,2021-05-07,610000.0,Hatteras,27943,"Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Heated, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachFrontage length: Roadfront: 75Has waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot size dimensions: 75 x 200Lot features: LevelOther property informationParcel number: 016071004Zoning description: RES",1,0,0,0,1,1,0,16.225740077925398
57208 Slash Creek Rd,https://www.zillow.com/homedetails/57208-Slash-Creek-Rd-Hatteras-NC-27943/86655359_zpid/,2002,0.36,5.0,6.0,3248.0,2022-04-11,949000.0,Hatteras,27943,"Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Heated, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.36 AcresLot features: Cul-De-Sac, LevelOther property informationParcel number: 016071003Zoning description: Res",1,0,0,0,1,1,0,5.0879343734961475
57210 Atlantic View Dr,https://www.zillow.com/homedetails/57210-Atlantic-View-Dr-Hatteras-NC-27943/228632346_zpid/,2005,0.0,4.0,4.0,2200.0,2021-10-04,558000.0,Hatteras,27943,"Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivatePatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: SoundLotLot features: LevelOther property informationParcel number: 027890016Zoning description: C-2H",1,0,0,0,1,1,0,11.297507465346083
57211 Atlantic View Dr,https://www.zillow.com/homedetails/57211-Atlantic-View-Dr-Hatteras-NC-27943/228632348_zpid/,1977,0.0,2.0,2.0,1358.0,2022-02-18,200000.0,Hatteras,27943,Property detailsPropertyExterior features: StuccoOther property informationParcel number: 027890021,0,0,0,0,0,0,0,6.796388345856976
57211 Slash Creek Rd,https://www.zillow.com/homedetails/57211-Slash-Creek-Rd-Hatteras-NC-27943/86655340_zpid/,2007,0.41,4.0,5.0,3271.0,2021-05-14,747000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 2Parking features: 2 Car, Off Street, PavedGarage spaces: 2Covered spaces: 2PropertyPool features: NoneExterior features: Lighting, Dry EntryPatio and porch details: Covered Decks, Sun DeckFencing: FencedView description: Ocean, SoundWaterfront features: 3 - lots from oceanfront (4th ro, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.41 AcresLot features: Cul-De-Sac, Level, LandscapedOther property informationParcel number: 016071010Zoning description: ResOther equipment: Intercom",0,0,0,0,1,1,1,15.995755889338362
57214 Flambeau Rd,https://www.zillow.com/homedetails/57214-Flambeau-Rd-Hatteras-NC-27943/228620327_zpid/,1987,0.18365472910927455,1.0,2.0,1392.0,2021-03-03,325000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 1Parking features: 1 Car, Attached, Off Street, Parking Garage, UndergroundGarage spaces: 1PropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Outdoor ShowerPatio and porch details: Sun DeckView description: Canal, Salt MarshWaterfront features: Canal Front, Waterfront, Beach Access, Boardwalk to BeachResidential vegetation: WoodedHas waterview: YesWaterview: Canal,Salt MarshLotLot size: 8,000 sqftLot features: LevelOther property informationParcel number: 015879056Zoning description: RES",0,0,0,1,1,1,0,18.361307543376434
57217 Summerplace Dr,https://www.zillow.com/homedetails/57217-Summerplace-Dr-Hatteras-NC-27943/86655285_zpid/,2001,0.0,6.0,6.0,2784.0,2021-04-27,537000.0,Hatteras,27943,"Property detailsParkingParking features: No Garage, Off Street, Paved, UnpavedPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Salt Marsh, SoundWaterfront features: 2 - lots from oceanfront (3rd ro, Beach AccessHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot features: LevelOther property informationParcel number: 016066018Zoning description: Res",1,0,0,0,1,1,1,16.55428891876402
