,Price,ModelPrice,ModelDelta,Bedrooms,OceanFront,Size,BeachAccess,ListingLink-href
0,725000.0,350947.2361875654,374052.7638124346,3.0,0,1352.0,0,https://www.zillow.com/homedetails/0-Lighthouse-Ct-Hatteras-NC-27943/2083401756_zpid/
1,1195000.0,881446.4549872703,313553.5450127297,5.0,1,2877.0,1,https://www.zillow.com/homedetails/22063-Sea-Gull-St-Rodanthe-NC-27968/2071503865_zpid/
2,1099000.0,712265.459749178,386734.54025082197,5.0,1,2436.0,1,https://www.zillow.com/homedetails/22083-Sea-Gull-St-Rodanthe-NC-27968/2064192097_zpid/
3,1400000.0,921614.5363059662,478385.4636940338,7.0,1,3318.0,1,https://www.zillow.com/homedetails/22169-Sea-Gull-St-Rodanthe-NC-27968/2065551116_zpid/
4,575000.0,375047.0586003175,199952.9413996825,4.0,0,1512.0,1,https://www.zillow.com/homedetails/22197-Green-Lantern-Ct-Rodanthe-NC-27968/2099175191_zpid/
5,519000.0,592211.1679048014,-73211.16790480143,4.0,1,1728.0,1,https://www.zillow.com/homedetails/23001-G-A-Kohler-Ct-Rodanthe-NC-27968/2062384023_zpid/
6,735000.0,424207.892100267,310792.107899733,4.0,0,1856.0,1,https://www.zillow.com/homedetails/23028-Cross-Of-Honor-Way-Rodanthe-NC-27968/2087843831_zpid/
7,1900000.0,940178.0109016465,959821.9890983535,8.0,0,4248.0,1,https://www.zillow.com/homedetails/23040-Cross-Of-Honor-Way-Rodanthe-NC-27968/2062970124_zpid/
8,1999997.0,538465.1607833494,1461531.8392166505,5.0,0,2400.0,0,https://www.zillow.com/homedetails/23252-Sudie-Payne-Rodanthe-NC-27968/2102517439_zpid/
9,1500000.0,806812.3527069463,693187.6472930537,5.0,0,3711.0,1,https://www.zillow.com/homedetails/23946-State-Highway-12-Rodanthe-NC-27968/2065396159_zpid/
10,670000.0,532415.4511352937,137584.5488647063,4.0,1,1681.0,1,https://www.zillow.com/homedetails/24052-Dean-Ave-Rodanthe-NC-27968/243986971_zpid/
11,670000.0,691676.1101023736,-21676.11010237364,4.0,1,2424.0,1,https://www.zillow.com/homedetails/24143-Ocean-Dr-S-Rodanthe-NC-27968/2067441668_zpid/
12,587000.0,273664.70651544555,313335.29348455445,4.0,0,1174.0,1,https://www.zillow.com/homedetails/24192-Ocean-Dr-S-Rodanthe-NC-27968/2079378225_zpid/
13,599000.0,241006.43454580347,357993.56545419653,4.0,0,1456.0,0,https://www.zillow.com/homedetails/24196-Dean-Ave-1-Rodanthe-NC-27968/2062161908_zpid/
14,699000.0,390530.60928303807,308469.39071696193,4.0,0,1673.0,1,https://www.zillow.com/homedetails/24207-Seabreeze-Ct-Rodanthe-NC-27968/2064565431_zpid/
15,599000.0,533904.132823466,65095.867176534026,4.0,1,1320.0,1,https://www.zillow.com/homedetails/24211-Ocean-Dr-S-Rodanthe-NC-27968/228617430_zpid/
16,650000.0,543453.9191487833,106546.08085121668,4.0,0,2319.0,1,https://www.zillow.com/homedetails/24216-Seabreeze-Ct-Rodanthe-NC-27968/2065483263_zpid/
17,2475000.0,1196987.611616647,1278012.388383353,8.0,1,4370.0,1,https://www.zillow.com/homedetails/24253-Caribbean-Way-Rodanthe-NC-27968/2095268638_zpid/
18,1695000.0,904982.1236560983,790017.8763439017,4.0,1,2855.0,1,https://www.zillow.com/homedetails/24260-Atlantic-Dr-Rodanthe-NC-27968/2079584530_zpid/
19,575000.0,499452.57140487345,75547.42859512655,3.0,1,1211.0,1,https://www.zillow.com/homedetails/24263-N-Holiday-Blvd-Rodanthe-NC-27968/243986975_zpid/
20,1150000.0,890021.0189698196,259978.98103018035,5.0,1,2937.0,1,https://www.zillow.com/homedetails/24270-Dean-Ave-Rodanthe-NC-27982/228617386_zpid/
21,849000.0,460366.6447623838,388633.3552376162,4.0,0,2357.0,0,https://www.zillow.com/homedetails/39006-Drum-Rd-Avon-NC-27915/228618483_zpid/
22,625000.0,667644.8620317399,-42644.8620317399,4.0,0,3436.0,0,https://www.zillow.com/homedetails/39199-Seashore-Blvd-Avon-NC-27915/86652248_zpid/
23,899000.0,694763.6617819829,204236.33821801713,4.0,0,3307.0,0,https://www.zillow.com/homedetails/39200-N-Albacore-Ln-Avon-NC-27915/228618441_zpid/
